file_id,file_name,local_file_name,local_path,size_bytes_local,modified_time_local,exif_datetime,width,height,drive_folder_id,drive_modifiedTime,drive_size,drive_mimeType
1vcVjy_eO2736BpajZzyRNAmhy6GS-P5A,IMG_0035.JPG,1vcVjy_eO2736BpajZzyRNAmhy6GS-P5A__IMG_0035.JPG,data/staging/1vcVjy_eO2736BpajZzyRNAmhy6GS-P5A__IMG_0035.JPG,624869,2026-01-17T00:10:15.912012,2025:10:12 20:41:48,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-13T04:41:48.000Z,624869,image/jpeg
1MFVkVOG7knLCM4jobUQLZzt3GQrBZokL,IMG_0036.JPG,1MFVkVOG7knLCM4jobUQLZzt3GQrBZokL__IMG_0036.JPG,data/staging/1MFVkVOG7knLCM4jobUQLZzt3GQrBZokL__IMG_0036.JPG,623862,2026-01-17T00:10:15.028332,2025:10:12 20:41:51,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-13T04:41:50.000Z,623862,image/jpeg
1aaFuCFMDAQ-LJ1D8YqJuGhwz96sbrUIW,IMG_0037.JPG,1aaFuCFMDAQ-LJ1D8YqJuGhwz96sbrUIW__IMG_0037.JPG,data/staging/1aaFuCFMDAQ-LJ1D8YqJuGhwz96sbrUIW__IMG_0037.JPG,1137062,2026-01-17T00:10:14.340250,2025:10:13 17:50:51,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-14T01:50:52.000Z,1137062,image/jpeg
1RQEL6yQZPGf8jj_wCl52R6jL2XArRDNp,IMG_0038.JPG,1RQEL6yQZPGf8jj_wCl52R6jL2XArRDNp__IMG_0038.JPG,data/staging/1RQEL6yQZPGf8jj_wCl52R6jL2XArRDNp__IMG_0038.JPG,1119548,2026-01-17T00:10:13.089399,2025:10:13 17:50:53,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-14T01:50:52.000Z,1119548,image/jpeg
1Pr0ghrG14ULtjufKZwQlQGnDKOoRBGvf,IMG_0039.JPG,1Pr0ghrG14ULtjufKZwQlQGnDKOoRBGvf__IMG_0039.JPG,data/staging/1Pr0ghrG14ULtjufKZwQlQGnDKOoRBGvf__IMG_0039.JPG,1121167,2026-01-17T00:10:11.886290,2025:10:13 17:50:56,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-14T01:50:56.000Z,1121167,image/jpeg
1HohWRvgYVLHLzPkPTV4-GD0LN4JrMtR8,IMG_0040.JPG,1HohWRvgYVLHLzPkPTV4-GD0LN4JrMtR8__IMG_0040.JPG,data/staging/1HohWRvgYVLHLzPkPTV4-GD0LN4JrMtR8__IMG_0040.JPG,2698238,2026-01-17T00:10:10.856098,2025:10:14 11:56:27,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-14T19:56:28.000Z,2698238,image/jpeg
1eke-g_Kzb4DDn7NjjdKAJtpVK2S3mZQG,IMG_0041.JPG,1eke-g_Kzb4DDn7NjjdKAJtpVK2S3mZQG__IMG_0041.JPG,data/staging/1eke-g_Kzb4DDn7NjjdKAJtpVK2S3mZQG__IMG_0041.JPG,2700916,2026-01-17T00:10:08.924316,2025:10:14 11:56:30,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-14T19:56:30.000Z,2700916,image/jpeg
1ABt_SzTdVSS6h8Z0Lr5cV0iM89hvWjer,IMG_0042.JPG,1ABt_SzTdVSS6h8Z0Lr5cV0iM89hvWjer__IMG_0042.JPG,data/staging/1ABt_SzTdVSS6h8Z0Lr5cV0iM89hvWjer__IMG_0042.JPG,2687844,2026-01-17T00:10:08.013155,2025:10:14 11:56:32,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-14T19:56:32.000Z,2687844,image/jpeg
1gMhF0LMCcx40sn_X1dqAw6Cy8NvGQk5z,IMG_0043.JPG,1gMhF0LMCcx40sn_X1dqAw6Cy8NvGQk5z__IMG_0043.JPG,data/staging/1gMhF0LMCcx40sn_X1dqAw6Cy8NvGQk5z__IMG_0043.JPG,2731725,2026-01-17T00:10:06.152545,2025:10:14 16:57:14,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T00:57:14.000Z,2731725,image/jpeg
1SgxcLxT9zJNHmRYv9xhK5rU7rlIA7hFS,IMG_0044.JPG,1SgxcLxT9zJNHmRYv9xhK5rU7rlIA7hFS__IMG_0044.JPG,data/staging/1SgxcLxT9zJNHmRYv9xhK5rU7rlIA7hFS__IMG_0044.JPG,2730031,2026-01-17T00:10:05.125938,2025:10:14 16:57:17,4208,2368,1MLRCj2kQrKnlwRPto4Z5eFka5HgDaLOv,2025-10-15T00:57:16.000Z,2730031,image/jpeg
