file_id,file_name,local_file_name,exif_datetime,width,height
1Ij5ZKEtU6kXyuy-sKfI2f6Fjru816WMX,IMG_0123.JPG,1Ij5ZKEtU6kXyuy-sKfI2f6Fjru816WMX__IMG_0123.JPG,2025:10:28 07:58:19,4208,2368
1IzFS_1ryTynkr2f9HYyPeFhCGS-Jcy72,IMG_0328.JPG,1IzFS_1ryTynkr2f9HYyPeFhCGS-Jcy72__IMG_0328.JPG,2025:12:09 21:58:45,4208,2368
1J9r3pQNtutyMH4T42FjuywZLbi-KtwKs,IMG_0286.JPG,1J9r3pQNtutyMH4T42FjuywZLbi-KtwKs__IMG_0286.JPG,2025:11:24 06:28:59,4208,2368
1JNQ71jHo6vAgXuY4aiVGsOfDZBiwUolJ,IMG_0076.JPG,1JNQ71jHo6vAgXuY4aiVGsOfDZBiwUolJ__IMG_0076.JPG,2025:10:18 22:39:02,4208,2368
1JQpdvIpcYxMOLHe0REc77SyaE-l-XoBI,IMG_0144.JPG,1JQpdvIpcYxMOLHe0REc77SyaE-l-XoBI__IMG_0144.JPG,2025:11:01 16:29:52,4208,2368
1JcaGieUekkXQ5vNDq2PgROm8BqfbGRNf,IMG_0136.JPG,1JcaGieUekkXQ5vNDq2PgROm8BqfbGRNf__IMG_0136.JPG,2025:11:01 04:22:26,4208,2368
1Jr7mHeyyj0JsL7Ri554tjUdLkooj2jFU,IMG_0168.JPG,1Jr7mHeyyj0JsL7Ri554tjUdLkooj2jFU__IMG_0168.JPG,2025:11:02 04:48:17,4208,2368
1JxjxHbeTf85GIjhGMPhoJuGzZNeaHKMs,IMG_0185.JPG,1JxjxHbeTf85GIjhGMPhoJuGzZNeaHKMs__IMG_0185.JPG,2025:11:05 06:51:17,4208,2368
1K1dGgpAcvB9kz4lvYjcDlhzXAbUpIMtm,IMG_0268.JPG,1K1dGgpAcvB9kz4lvYjcDlhzXAbUpIMtm__IMG_0268.JPG,2025:11:22 04:37:30,4208,2368
1KE-Mz5_nLcazkuVpZYtwdD3h3M_uVWoD,IMG_0252.JPG,1KE-Mz5_nLcazkuVpZYtwdD3h3M_uVWoD__IMG_0252.JPG,2025:11:17 01:58:46,4208,2368
1KGa6cz-iu2sUnMjSM9m8mZE_DwYS_aOH,IMG_0348.JPG,1KGa6cz-iu2sUnMjSM9m8mZE_DwYS_aOH__IMG_0348.JPG,2025:12:14 01:51:53,4208,2368
1KHaqCU-qaSZsv08vgrP6CZhQmh5tRYCp,IMG_0269.JPG,1KHaqCU-qaSZsv08vgrP6CZhQmh5tRYCp__IMG_0269.JPG,2025:11:22 04:37:32,4208,2368
1KIOlpgxaj_OWC7iGbmGkgA9lAZaCU9l1,IMG_0189.JPG,1KIOlpgxaj_OWC7iGbmGkgA9lAZaCU9l1__IMG_0189.JPG,2025:11:05 17:47:19,4208,2368
1KMtQpGDJLPrVKfknSksPvAL43gX2lJOv,IMG_0300.JPG,1KMtQpGDJLPrVKfknSksPvAL43gX2lJOv__IMG_0300.JPG,2025:11:27 05:21:50,4208,2368
1KtZE13NsOLvgbde6f38lxTkAWZyXuDTD,IMG_0161.JPG,1KtZE13NsOLvgbde6f38lxTkAWZyXuDTD__IMG_0161.JPG,2025:11:02 04:45:57,4208,2368
1L4WpV3g6THEFOiO-5URgustxaueUt9vV,IMG_0337.JPG,1L4WpV3g6THEFOiO-5URgustxaueUt9vV__IMG_0337.JPG,2025:12:11 14:46:48,4208,2368
1LDHtpmF0P6DhEbr-ZCieaiM8QGyqToNB,IMG_0103.JPG,1LDHtpmF0P6DhEbr-ZCieaiM8QGyqToNB__IMG_0103.JPG,2025:10:20 19:27:35,4208,2368
1LG0e8HBKLj5tI5iEHbrBTIrpLpV_zUYh,IMG_0128.JPG,1LG0e8HBKLj5tI5iEHbrBTIrpLpV_zUYh__IMG_0128.JPG,2025:10:31 17:39:41,4208,2368
1LGn3k5kAKQiTZvSdnYSXiSAg9tK_UH8A,IMG_0302.JPG,1LGn3k5kAKQiTZvSdnYSXiSAg9tK_UH8A__IMG_0302.JPG,2025:11:27 08:47:58,4208,2368
1LOBVgxGW4hD8mosaNVwO1MdXAYehr4ln,IMG_0301.JPG,1LOBVgxGW4hD8mosaNVwO1MdXAYehr4ln__IMG_0301.JPG,2025:11:27 08:47:56,4208,2368
1LdCz2EZsD9WfYnONa1S5ux3AIUe0OgnC,IMG_0009.JPG,1LdCz2EZsD9WfYnONa1S5ux3AIUe0OgnC__IMG_0009.JPG,2025:10:09 14:04:43,4208,2368
1LuXREgWb9LWnrzeOuKfDmdN--DYo1HQt,IMG_0077.JPG,1LuXREgWb9LWnrzeOuKfDmdN--DYo1HQt__IMG_0077.JPG,2025:10:18 22:39:05,4208,2368
1LxolrlOmpm6-Re1jP2IERuY4ATt_1OWG,IMG_0117.JPG,1LxolrlOmpm6-Re1jP2IERuY4ATt_1OWG__IMG_0117.JPG,2025:10:27 21:43:44,4208,2368
1MBwO-y52-I5pgVeP685iqSiQgVqbWfZp,IMG_0171.JPG,1MBwO-y52-I5pgVeP685iqSiQgVqbWfZp__IMG_0171.JPG,2025:11:02 10:30:11,4208,2368
